data-prix;data-idannonce;data-nb_chambres;data-nb_pieces;data-surface;data-link
850000;0;2;3 ;75;https://www.seloger.com/annonces/achat/appartement/paris-16eme-75/auteuil-sud/159123111.htm
139000;0;1;3 ;46;https://www.seloger.com/annonces/achat/appartement/les-pavillons-sous-bois-93/156847617.htm
315500;0;1;2 ;50,74;https://www.seloger.com/annonces/achat/appartement/sceaux-92/155427291.htm
320000;0;2;3 ;72;https://www.seloger.com/annonces/achat/appartement/saint-cyr-l-ecole-78/158878695.htm
680000;0;3;5 ;108,14;https://www.seloger.com/annonces/achat/appartement/sceaux-92/156847531.htm
178000;0;2;3 ;61,66;https://www.seloger.com/annonces/achat/appartement/ecouen-95/156145599.htm
1395000;0;4;6 ;108;https://www.bellesdemeures.com/annonces/vente/appartement-luxe/paris-20eme-75/plaine/157426287/#?cmp=INTSL_ListToDetail
398000;0;2;3 ;53;https://www.seloger.com/annonces/achat/appartement/versailles-78/clagny-glatigny/157428957.htm
409000;0;3;4 ;76;https://www.seloger.com/annonces/achat/appartement/chatillon-92/conservatoire/157488363.htm
910000;0;2;4 ;91;https://www.seloger.com/annonces/achat/appartement/boulogne-billancourt-92/prince-marmottan/157559627.htm
1149000;0;6;7 ;138;https://www.bellesdemeures.com/annonces/vente/appartement-luxe/versailles-78/clagny-glatigny/157560329/#?cmp=INTSL_ListToDetail
225000;0;2;3 ;60;https://www.seloger.com/annonces/achat/appartement/champigny-sur-marne-94/tremblay/157694973.htm
1250000;0;4;5 ;110;https://www.seloger.com/annonces/achat-de-prestige/appartement/neuilly-sur-seine-92/saint-james-delabordere/158315151.htm
432900;0;1;3 ;76;https://www.seloger.com/annonces/achat/appartement/chaville-92/pave-des-gardes/158334939.htm
2590000;0;4;6 ;190;https://www.bellesdemeures.com/annonces/vente/appartement-luxe/paris-16eme-75/muette-sud/158600359/#?cmp=INTSL_ListToDetail
286000;0;2;4 ;86;https://www.seloger.com/annonces/achat/appartement/andresy-78/denouval/158624343.htm
550000;0;1;2 ;41,91;https://www.seloger.com/annonces/achat/appartement/paris-11eme-75/leon-blum-folie-regnault/158658645.htm
728000;0;1;2 ;67,07;https://www.seloger.com/annonces/achat/appartement/paris-11eme-75/bastille-popincourt/158658647.htm
1489000;0;4;6 ;119;https://www.seloger.com/annonces/achat-de-prestige/appartement/paris-13eme-75/bievres-sud-tolbiac/158702933.htm
272500;0;1;2 ;25;https://www.seloger.com/annonces/achat/appartement/paris-20eme-75/telegraphe-pelleport-saint-fargeau/158765365.htm
432000;0;1;2 ;53;https://www.seloger.com/annonces/achat/appartement/suresnes-92/centre-ville/158810061.htm
469000;0;3;5 ;95;https://www.seloger.com/annonces/achat/appartement/saint-germain-en-laye-78/grande-ceinture/158814067.htm
655000;0;2;3 ;67;https://www.seloger.com/annonces/achat/appartement/boulogne-billancourt-92/reine-mairie/158819835.htm
440000;0;1;3 ;62;https://www.seloger.com/annonces/achat/appartement/charenton-le-pont-94/bordeaux-victor-hugo/158835223.htm
475000;0;2;3 ;64;https://www.seloger.com/annonces/achat/appartement/maisons-alfort-94/alfort/158840447.htm
779000;0;2;3 ;64,09;https://www.seloger.com/annonces/achat-de-prestige/appartement/paris-11eme-75/republique-saint-ambroise/158844919.htm
2255000;0;4;7 ;186;https://www.bellesdemeures.com/annonces/vente/appartement-luxe/paris-16eme-75/muette-nord/158845181/#?cmp=INTSL_ListToDetail
314995;0;3;4 ;81,54;https://www.seloger.com/annonces/achat/appartement/choisy-le-roi-94/centre-i/158853697.htm
544000;0;1;2 ;46;https://www.seloger.com/annonces/achat/appartement/paris-19eme-75/bassin-de-la-villette/158856969.htm
675000;0;2;4 ;75;https://www.seloger.com/annonces/achat/appartement/paris-15eme-75/georges-brassens/158870455.htm
960000;0;3;4 ;171;https://www.seloger.com/annonces/achat-de-prestige/appartement/ivry-sur-seine-94/ivry-port-centre/148237683.htm
178000;0;1;3 ;59,03;https://www.seloger.com/annonces/achat/appartement/la-ville-du-bois-91/152628415.htm
248000;0;2;3 ;66,6;https://www.seloger.com/annonces/achat/appartement/rambouillet-78/racinay-pierrefite/153059395.htm
199000;0;3;5 ;91;https://www.seloger.com/annonces/achat/appartement/verneuil-sur-seine-78/richelieu/153497429.htm
143000;0;1;2 ;37;https://www.seloger.com/annonces/achat/appartement/lagny-sur-marne-77/tassigny-leclerc-centre/153532545.htm
4050000;0;5;7 ;256;https://www.bellesdemeures.com/annonces/vente/appartement-luxe/neuilly-sur-seine-92/charles-laffitte/139472107/#?cmp=INTSL_ListToDetail
241000;0;3;4 ;82,1;https://www.seloger.com/annonces/achat/appartement/franconville-95/hotel-de-ville-bel-air/146424465.htm
5460000;0;4;11 ;283;https://www.seloger.com/annonces/achat-de-prestige/appartement/neuilly-sur-seine-92/charles-laffitte/146556011.htm
210500;0;2;3 ;64,15;https://www.seloger.com/annonces/achat/appartement/triel-sur-seine-78/nord-et-ouest/152028883.htm
254000;0;2;3 ;61,09;https://www.seloger.com/annonces/achat/appartement/carrieres-sous-poissy-78/le-village/153074065.htm
320000;0;1;2 ;47;https://www.seloger.com/annonces/achat/appartement/antony-92/guillebaud-beauv-vallon-les-rabats-antonypole/153145279.htm
499000;0;2;3 ;65,43;https://www.seloger.com/annonces/achat/appartement/issy-les-moulineaux-92/chemins-des-vignes/153315253.htm
159900;0;2;4 ;58;https://www.seloger.com/annonces/achat/appartement/vernouillet-78/centre-bas/153707981.htm
380000;0;3;6 ;104,33;https://www.seloger.com/annonces/achat/appartement/saint-witz-95/153762875.htm
715000;0;2;4 ;83;https://www.seloger.com/annonces/achat/appartement/paris-19eme-75/manin-jaures/153774217.htm
495000;0;3;4 ;91;https://www.seloger.com/annonces/achat/appartement/versailles-78/clagny-glatigny/153995125.htm
289000;0;3;4 ;82;https://www.seloger.com/annonces/achat/appartement/villeneuve-le-roi-94/faisanderie-bas-gare/154398285.htm
222000;0;2;3 ;69;https://www.seloger.com/annonces/achat/appartement/montmorency-95/haut-montmorency-est/154491807.htm
1149000;0;4;5 ;115;https://www.bellesdemeures.com/annonces/vente/appartement-luxe/paris-15eme-75/vaugirard-parc-des-expositions/154523583/#?cmp=INTSL_ListToDetail
229000;0;3;4 ;77;https://www.seloger.com/annonces/achat/appartement/poissy-78/saint-barthelemy/154611819.htm
1295000;0;3;4 ;82;https://www.bellesdemeures.com/annonces/vente/appartement-luxe/paris-15eme-75/emeriau-zola/155244391/#?cmp=INTSL_ListToDetail
170000;0;1;2 ;29,64;https://www.seloger.com/annonces/achat/appartement/houilles-78/main-de-fer/156008641.htm
516000;0;2;3 ;96;https://www.seloger.com/annonces/achat/appartement/montigny-le-bretonneux-78/le-pas-du-lac/156271505.htm
1000000;0;3;5 ;103;https://www.seloger.com/annonces/achat/appartement/boulogne-billancourt-92/prince-marmottan/156280211.htm
299250;0;3;4 ;74,65;https://www.seloger.com/annonces/achat/appartement/poissy-78/le-coudraie/155687079.htm
498200;0;1;2 ;35,65;https://www.seloger.com/annonces/achat/appartement/paris-5eme-75/val-de-grace/155766413.htm
2995000;0;4;6 ;185;https://www.bellesdemeures.com/annonces/vente/appartement-luxe/paris-16eme-75/chaillot/155912301/#?cmp=INTSL_ListToDetail
1495000;0;2;4 ;65,15;https://www.bellesdemeures.com/annonces/vente/appartement-luxe/paris-6eme-75/saint-germain-des-pres/155969991/#?cmp=INTSL_ListToDetail
415000;0;1;2 ;39;https://www.seloger.com/annonces/achat/appartement/paris-19eme-75/secretan/156269965.htm
745000;0;3;4 ;111;https://www.seloger.com/annonces/achat/appartement/versailles-78/clagny-glatigny/156551145.htm
247900;0;2;3 ;69,86;https://www.seloger.com/annonces/achat/appartement/osny-95/la-meth/156655327.htm
229840;0;2;3 ;61,46;https://www.seloger.com/annonces/achat/appartement/brie-comte-robert-77/leclerc-centre-ouest/156695559.htm
1510000;0;3;4 ;126;https://www.seloger.com/annonces/achat-de-prestige/appartement/neuilly-sur-seine-92/la-plaine-des-sablons/156777627.htm
315000;0;2;3 ;74;https://www.seloger.com/annonces/achat/appartement/thiais-94/les-saules/156867107.htm
597000;0;3;4 ;86;https://www.seloger.com/annonces/achat/appartement/sevres-92/beau-site-pommerets-binelles/156914785.htm
